,title,artist,top genre,year,country,val
395,I'll Be Home for Christmas,Michael Bublé,adult standards,2011,canada,15
982,I.F.L.Y.,Bazzi,pop,2019,malasya,55
730,Ik Tera,Maninder Buttar,desi pop,2019,india,49
541,Imaginaste - Remix,Jhay Cortez,latin,2019,chile,60
443,In der Weihnachtsbäckerei,Rolf Zuckowski,german pop,1987,germany,92
116,Indeciso,Reik,latin,2019,argentina,90
265,Indeciso,Reik,latin,2019,bolivia,90
462,Indeciso,Reik,latin,2019,colombia,90
562,Indeciso,Reik,latin,2019,spain,90
543,Infeliz,Arcangel,latin,2019,chile,72
978,Into the Unknown,Idina Menzel,hollywood,2019,malasya,27
316,Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,baile pop,2019,brazil,70
26,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,world,72
69,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,africa,72
225,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,belgium,72
368,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,canada,72
620,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,usa,72
40,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,world,36
80,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,africa,36
180,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,australia,36
237,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,belgium,36
384,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,canada,36
421,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,germany,36
530,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,chile,36
580,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,spain,36
